          1.86822619         -0.87400603         -0.04753857
           2           1          12           3  -6.9484593765487611E-005
           2           1          13           1  -6.6432053011685187E-005
           2           1          13           2   3.9937082714083928E-005
           2           1          13           3   1.0085069751339298E-005
           2           1          14           2   2.5592160076717466E-004
           2           1          14           3  -2.7658278391228586E-005
           2           1          15           2   6.4500976598444004E-004
           2           1          15           3  -6.2087318965950957E-006
           2           1          16           2  -8.5370392159134396E-004
           2           1          18           2  -2.0023984691821262E-004
           2           1          19           1  -4.9604236177552684E-006
           2           1          19           2   2.2520614618367850E-006
           2           1          19           3  -3.7849182113678461E-006
           2           2           1           1   8.9689791099755990E-005
           2           2           1           2  -1.7710329277313422E-005
           2           2           1           3   1.0114451096555973E-005
           2           2           2           1  -1.0708808687030780E-003
           2           2           2           2   2.7047858676328926E-004
           2           2           2           3  -1.0691447796248830E-004
           2           2           5           1   1.1080752418771472E-005
           2           2           5           2   2.2202433939856686E-005
           2           2           5           3  -1.2841178372093500E-005
           2           2           6           2  -1.0489923261649112E-004
           2           2           7           2   2.6421954780944438E-005
           2           2           7           3  -4.4874655819425742E-006
           2           2           8           1   1.7127763051853946E-004
           2           2           8           3   3.3991498303899845E-005
           2           2           9           2  -7.6471280485637287E-005
           2           2           9           3  -6.1948409127776336E-006
           2           2          10           2   7.6196553668640896E-005
           2           2          11           2  -7.1484613836978260E-006
           2           2          11           3   6.5712548543674310E-006
           2           2          12           2  -7.9723176500778466E-005
           2           2          12           3   1.4476622678818873E-005
           2           2          13           1   1.5918380493553147E-005
           2           2          13           2  -9.3238928234494142E-006
           2           2          13           3  -3.2236412557870467E-006
           2           2          14           2  -6.5525586233721500E-005
           2           2          14           3   7.7810627104345986E-006
           2           2          15           2  -1.8997997933787388E-004
           2           2          15           3   1.5184199238279600E-006
           2           2          16           2   3.9851630772445195E-004
           2           2          18           2   7.2154274886788869E-005
           2           2          19           1   1.5814106459246758E-006
           2           2          19           2  -7.1925090199225550E-007
           2           2          19           3   1.2044946379281118E-006
           2           3           1           1  -2.9842626152943646E-005
           2           3           1           2   6.4357998163221288E-006
           2           3           1           3  -4.2989264540196013E-006
           2           3           2           1   3.6232030193282945E-004
           2           3           2           2  -1.0691447795339972E-004
           2           3           2           3   4.7889726338892117E-005
           2           3           5           1  -3.9488678624009914E-006
           2           3           5           2  -1.0517857860855958E-005
           2           3           5           3   6.0290745552693697E-006
           2           3           6           2   2.8992292340086651E-005
           2           3           7           2  -7.8701803099309782E-006
           2           3           7           3   1.4630062563685257E-006
           2           3           8           1  -6.7796275552746432E-005
           2           3           8           3  -1.6384004541154702E-005
           2           3           9           2   3.4222531362500819E-005
           2           3           9           3   4.2135493931505138E-006
           2           3          10           2  -3.9539479665986389E-005
           2           3          11           2   4.2848948841033566E-006
           2           3          11           3  -3.4917022104089434E-006
           2           3          12           2   2.2457471487746644E-005
           2           3          12           3  -4.6708113476940571E-006
           2           3          13           1  -5.6816840930833234E-006
           2           3          13           2   3.2193065540783854E-006
           2           3          13           3   1.5096815520127698E-006
           2           3          14           2   2.4918149088527152E-005
           2           3          14           3  -3.3228663570671348E-006
           2           3          15           2   7.8269278476846853E-005
           2           3          15           3  -2.7029511608699234E-007
           2           3          16           2  -2.2004296749497323E-004
           2           3          18           2  -3.6279420958989986E-005
           2           3          19           1  -7.1730355073421807E-007
           2           3          19           2   3.2711244947185020E-007
           2           3          19           3  -5.6702674536355804E-007
           5           1           1           1  -1.0256366200911749E-005
           5           1           1           2   1.5147097673517224E-006
           5           1           1           3  -7.1315140240355848E-008
           5           1           2           1  -4.6314490134088661E-005
           5           1           2           2   1.1080752421375162E-005
           5           1           2           3  -3.9488678645424186E-006
           5           1           5           1   6.9865125298945540E-006
           5           1           5           2   1.1132117080747931E-006
           5           1           5           3  -1.6622991835689330E-006
           5           1           6           2  -8.9022651872189067E-006
           5           1           7           2   1.0643835640997265E-005
           5           1           7           3  -1.3948323065318586E-006
           5           1           8           1   2.0450638627740912E-005
           5           1           8           3   1.7728299963342294E-006
           5           1           9           2  -8.6136840599687873E-006
           5           1           9           3  -5.4892407963349980E-007
           5           1          10           2   1.7480275066572623E-005
           5           1          11           2  -4.1246251455301752E-006
           5           1          11           3   1.3987507299049140E-006
           5           1          12           2  -9.7623039597014061E-007
           5           1          12           3  -1.3276377997550035E-006
           5           1          13           1   1.0009053237350172E-005
           5           1          13           2  -7.5884298891534074E-006
           5           1          13           3   1.6930380768873337E-007
           5           1          14           2  -3.8615681085868763E-005
           5           1          14           3   2.5170685747947521E-006
           5           1          15           2  -1.1903922294484966E-004
           5           1          15           3   4.6449620672380130E-006
           5           1          16           2   4.1846995757513234E-005
           5           1          18           2   7.7052857395022649E-006
           5           1          19           1   1.7962682552613266E-007
           5           1          19           2  -7.9993765494284067E-008
           5           1          19           3   9.1480564643921187E-008
           5           2           1           1   9.1584911960240772E-006
           5           2           1           2  -2.3445714851499199E-006
           5           2           1           3   2.4504009092854951E-006
           5           2           2           1  -6.9611467201262820E-005
           5           2           2           2   2.2202434104354885E-005
           5           2           2           3  -1.0517857936747445E-005
           5           2           5           1   1.1132117259325461E-006
           5           2           5           2   4.3143806485125633E-005
           5           2           5           3  -1.2992213232413379E-005
           5           2           6           2  -1.6222396579835806E-005
           5           2           7           2   4.4429074104999814E-007
           5           2           7           3  -7.5883158033607137E-007
           5           2           8           1  -2.4231644977202493E-006
           5           2           8           3   5.8038039395896919E-006
           5           2           9           2  -2.0350458655589030E-005
           5           2           9           3  -5.4969358731208926E-006
           5           2          10           2   8.4459364777880034E-005
           5           2          11           2  -4.0192846789499698E-006
           5           2          11           3   2.8928548117687162E-006
           5           2          12           2  -1.2553379973992568E-005
           5           2          12           3   2.4393588162551920E-006
           5           2          13           1   1.7091877029128277E-006
           5           2          13           2  -4.2780837221812674E-006
           5           2          13           3  -1.0657753986822174E-006
           5           2          14           2  -3.4536609943351336E-005
           5           2          14           3   4.5563496201625150E-006
           5           2          15           2  -1.4678913013237626E-004
           5           2          15           3  -6.2178219196429662E-006
           5           2          16           2  -7.4346809872905808E-005
           5           2          18           2   5.5993271097294350E-006
           5           2          19           1   6.4866820738018958E-007
           5           2          19           2  -2.9089928616073254E-007
           5           2          19           3   4.5970672646229328E-007
           5           3           1           1  -3.8665373716182996E-006
           5           3           1           2   1.0272678833202729E-006
           5           3           1           3  -1.3022865129016060E-006
           5           3           2           1   4.0646161948585981E-005
           5           3           2           2  -1.2841178437319478E-005
           5           3           2           3   6.0290745859361290E-006
           5           3           5           1  -1.6622991904727860E-006
           5           3           5           2  -1.2992213221207099E-005
           5           3           5           3   5.7909779070997954E-006
           5           3           6           2   8.7473036647562190E-006
           5           3           7           2  -2.7903652390616244E-006
           5           3           7           3   6.7400086740478063E-007
           5           3           8           1  -6.9045074846590841E-006
           5           3           8           3  -2.9292956290292512E-006
           5           3           9           2   1.3270857674984724E-005
           5           3           9           3   1.8216744450753161E-006
           5           3          10           2  -4.7647236772356454E-005
           5           3          11           2   3.0307377308712614E-006
           5           3          11           3  -1.8983569570235172E-006
           5           3          12           2   5.2571492935993080E-006
           5           3          12           3  -4.2937017627334747E-007
           5           3          13           1  -2.4333180804270550E-006
           5           3          13           2   3.4569919545870797E-006
           5           3          13           3   3.5104467062471226E-007
           5           3          14           2   2.2812818792639404E-005
           5           3          14           3  -2.7646036078441008E-006
           5           3          15           2   1.0181154371401812E-004
           5           3          15           3   3.3075327503980037E-007
           5           3          16           2   3.2203552180134993E-005
           5           3          18           2  -5.6856119387836581E-006
           5           3          19           1  -3.7205515341837271E-007
           5           3          19           2   1.6687285351963564E-007
           5           3          19           3  -2.7223458467634284E-007
           6           2           1           1   5.5597765353749483E-006
           6           2           1           2   2.2531720685064831E-006
           6           2           1           3  -4.8586821809568786E-006
           6           2           2           1   5.4196528540932469E-004
           6           2           2           2  -1.0489923187851570E-004
           6           2           2           3   2.8992292017008982E-005
           6           2           5           1  -8.9022651016748064E-006
           6           2           5           2  -1.6222396243188504E-005
           6           2           5           3   8.7473034809012295E-006
           6           2           6           2   1.5753647085923114E-004
           6           2           7           2  -2.9011031778969139E-005
           6           2           7           3   4.6766977826756098E-006
           6           2           8           1  -7.6801842860485967E-005
           6           2           8           3  -1.3897040361758780E-005
           6           2           9           2   6.4849280413769911E-005
           6           2           9           3   4.7567247092385138E-006
           6           2          10           2  -1.8853160210467878E-004
           6           2          11           2   2.1595334868317238E-005
           6           2          11           3  -9.0294433945097622E-006
           6           2          12           2   6.5822778582171114E-005
           6           2          12           3   5.5900329067231508E-007
           6           2          13           1  -1.2800491031559742E-005
           6           2          13           2   8.1854982289504944E-006
           6           2          13           3   2.3626506193841980E-006
           6           2          14           2   5.7306305131286567E-005
           6           2          14           3  -5.5378493895268757E-006
           6           2          15           2   1.9004365772131148E-004
           6           2          15           3  -1.8278190912081808E-006
           6           2          16           2  -2.1236791381168188E-004
           6           2          18           2  -1.0761353825454313E-005
           6           2          19           1  -8.6003644355000124E-007
           6           2          19           2   3.9040318345482997E-007
           6           2          19           3  -8.8595399500930291E-007
           7           2           1           1  -3.6053193888995119E-005
           7           2           1           2   4.4864773726522076E-006
           7           2           1           3  -2.1891997621592598E-008
           7           2           2           1  -1.2472810608391330E-004
           7           2           2           2   2.6421955554752220E-005
           7           2           2           3  -7.8701806600845070E-006
           7           2           5           1   1.0643835727070035E-005
           7           2           5           2   4.4429087358629890E-007
           7           2           5           3  -2.7903653443039041E-006
           7           2           6           2  -2.9011032766327124E-005
           7           2           7           2   7.2820544525448058E-005
           7           2           7           3  -1.2572716395875269E-005
           7           2           8           1   7.2210735890707462E-005
           7           2           8           3   3.5670237761567093E-006
           7           2           9           2  -3.4154927769291804E-005
           7           2           9           3   2.1610924455448679E-006
           7           2          10           2   8.0223601975645527E-005
           7           2          11           2  -2.9831642913905068E-007
           7           2          11           3   1.3868375319717841E-006
           7           2          12           2   1.0559563100699133E-005
           7           2          12           3  -7.9351596429475696E-006
           7           2          13           1   1.5318652408528380E-005
           7           2          13           2  -7.5271323278649743E-006
           7           2          13           3  -2.3177195383239581E-006
           7           2          14           2  -6.2205983488735700E-005
           7           2          14           3   2.0326452068234817E-006
           7           2          15           2  -2.7149651714846118E-004
           7           2          15           3   1.1242017634838106E-005
           7           2          16           2   7.5498548299394292E-005
